TABLE_SCHEMA|TABLE_NAME|COLUMN_NAME|ORDINAL_POSITION|CONSTRAINT_NAME
dbo|t351_co_mov_docto|f351_rowid|1|PK_t351
dbo|t3511_co_mov_docto_rx|f3511_rowid_mov_docto|1|PK_t3511
dbo|t3512_co_mov_docto_alterno|f3512_rowid_movto|1|PK_t3512
dbo|t3513_co_movto_docto_af_apert|f3513_rowid|1|PK_t3513
dbo|t3514_co_movto_docto_agil|f3514_rowid_movto|1|PK_t3514
dbo|t352_co_docto_cruce|f352_rowid|1|PK_t352
dbo|t3521_co_docto_cruce_ret|f3521_rowid|1|PK_t3521
dbo|t353_co_saldo_abierto|f353_rowid|1|PK_t353
dbo|t3531_co_provision|f3531_rowid_sa|1|PK_t3531
dbo|t3532_co_provision_movto|f3532_rowid|1|PK_t3532
dbo|t3533_co_saldos_imptos|f3533_rowid|1|PK_t3533
dbo|t3534_co_deterioro|f3534_rowid|1|PK_t3534
dbo|t3535_co_deterioro_movto|f3535_rowid|1|PK_t3535
dbo|t3536_co_saldos_imptos_che|f3536_rowid|1|PK_t3536
dbo|t3537_co_mov_sa_percepcion|f3537_rowid_docto_factura|1|PK_t3537
dbo|t3537_co_mov_sa_percepcion|f3537_rowid_sa|2|PK_t3537
dbo|t3537_co_mov_sa_percepcion|f3537_rowid_docto|3|PK_t3537
dbo|t3537_co_mov_sa_percepcion|f3537_rowid_mov_docto|4|PK_t3537
dbo|t354_co_mov_saldo_abierto|f354_rowid|1|PK_t354
dbo|t3541_co_mov_saldo_abierto_pe|f3541_rowid_movto_sa|1|PK_t3541
dbo|t3542_co_mov_saldo_abierto_rep|f3542_rowid|1|PK_t3542
dbo|t355_co_saldo_diferido|f355_rowid|1|PK_t355
dbo|t356_co_mov_saldo_diferido|f356_rowid|1|PK_t356
dbo|t357_co_ingresos_caja|f357_rowid_docto|1|PK_t357
dbo|t3571_co_rc_montos_x_moneda|f3571_rowid_docto|1|PK_t3571
dbo|t3571_co_rc_montos_x_moneda|f3571_id_moneda|2|PK_t3571
dbo|t358_co_relacion_medios_pago|f358_rowid|1|PK_t358
dbo|t3581_co_movto_datafono|f3581_rowid|1|PK_t3581
dbo|t359_co_egresos_caja|f359_rowid_docto|1|PK_t359
dbo|t360_co_programa_pagos|f360_id_cia|1|PK_t360
dbo|t360_co_programa_pagos|f360_id|2|PK_t360
dbo|t3601_co_programa_pagos_log|f3601_rowid|1|PK_t3601
dbo|t3602_co_prog_multi_cia|f3602_id|1|PK_t3602
dbo|t3603_co_prog_multicia_det|f3603_id_prog_multi_cia|1|PK_t3603
dbo|t3603_co_prog_multicia_det|f3603_id_cia|2|PK_t3603
dbo|t3603_co_prog_multicia_det|f3603_id_prog_pago|3|PK_t3603
dbo|t361_co_ordenes_pago|f361_rowid|1|PK_t361
dbo|t362_co_ordenes_pago_sa|f362_rowid|1|PK_t362
dbo|t363_co_comprobantes_egreso|f363_rowid_docto|1|PK_t363
dbo|t364_co_conciliacion|f364_rowid|1|PK_t364
dbo|t3641_co_concilia_tarj|f3641_rowid|1|PK_t3641
dbo|t3642_co_extractos_tarj|f3642_rowid|1|PK_t3642
dbo|t3643_co_pend_concil_tarj|f3643_rowid|1|PK_t3643
dbo|t3644_co_part_concil_tarj|f3644_rowid|1|PK_t3644
dbo|t3645_co_part_concil_det_tarj|f3645_rowid|1|PK_t3645
dbo|t365_co_extractos|f365_rowid|1|PK_t365
dbo|t366_co_pendiente_conciliar|f366_rowid|1|PK_t366
dbo|t367_co_movto_distribucion|f367_rowid|1|PK_t367
dbo|t368_af_movto_activo_fijo|f368_rowid|1|PK_t368
dbo|t3681_af_movto_activo_niif|f3681_rowid_movto_af|1|PK_t3681
dbo|t3682_af_mov_activo_niif_met|f3682_rowid_movto_af|1|PK_t3682
dbo|t3683_co_movto_docto_af|f3683_rowid|1|PK_t3683
dbo|t369_co_movto_docto_invent|f369_rowid|1|PK_t369
dbo|t370_co_movto_docto_fe|f370_rowid|1|PK_t370
dbo|t371_co_extractos_contabilizar|f371_rowid|1|PK_t371
dbo|t3711_co_extractos_equiv_co|f3711_id_cia|1|PK_t3711
dbo|t3711_co_extractos_equiv_co|f3711_referencia|2|PK_t3711
dbo|t372_co_cajas_saldos|f372_id_cia|1|PK_t372
dbo|t372_co_cajas_saldos|f372_rowid_auxiliar|2|PK_t372
dbo|t372_co_cajas_saldos|f372_id_co|3|PK_t372
dbo|t372_co_cajas_saldos|f372_id_un|4|PK_t372
dbo|t372_co_cajas_saldos|f372_id_moneda|5|PK_t372
dbo|t372_co_cajas_saldos|f372_id_caja|6|PK_t372
dbo|t373_gc_grupo_concepto|f373_id_cia|1|PK_t373
dbo|t373_gc_grupo_concepto|f373_id|2|PK_t373
dbo|t374_gc_conceptos|f374_id_cia|1|PK_t374
dbo|t374_gc_conceptos|f374_id|2|PK_t374
dbo|t375_gc_concepto_auxiliar|f375_id_cia|1|PK_t375
dbo|t375_gc_concepto_auxiliar|f375_id_concepto|2|PK_t375
dbo|t375_gc_concepto_auxiliar|f375_rowid_auxiliar|3|PK_t375
dbo|t376_gc_movimiento|f376_rowid|1|PK_t376
dbo|t377_gc_equiv_tercero|f377_rowid_tercero_a_acumular|1|PK_t377
dbo|t378_co_relacion_med_pago_sa|f378_rowid|1|PK_t378
dbo|t379_co_ingresos_ret|f379_rowid|1|PK_t379
dbo|t380_sv_nacionalidad|f380_id|1|PK_t380
dbo|t381_sv_terceros|f381_id_cia|1|PK_t381
dbo|t381_sv_terceros|f381_id|2|PK_t381
dbo|t382_sv_formatos|f382_id|1|PK_t382
dbo|t383_sv_formatos_estructura|f383_id_formato|1|PK_t383
dbo|t383_sv_formatos_estructura|f383_columna|2|PK_t383
dbo|t384_sv_formatos_valores|f384_id_cia|1|PK_t384
dbo|t384_sv_formatos_valores|f384_id_formato|2|PK_t384
dbo|t384_sv_formatos_valores|f384_unidad|3|PK_t384
dbo|t384_sv_formatos_valores|f384_renglon|4|PK_t384
dbo|t384_sv_formatos_valores|f384_columna|5|PK_t384
dbo|t385_co_letras_rel_doctos|f385_id_cia|1|PK_t385
dbo|t385_co_letras_rel_doctos|f385_rowid_docto_letra|2|PK_t385
dbo|t385_co_letras_rel_doctos|f385_rowid_sa_base|3|PK_t385
dbo|t391_sb_maestros|f391_ind_clase|1|PK_t391
dbo|t391_sb_maestros|f391_id|2|PK_t391
dbo|t392_sb_formatos|f392_id|1|PK_t392
dbo|t393_sb_formatos_estructura|f393_id_formato|1|PK_t393
dbo|t393_sb_formatos_estructura|f393_columna|2|PK_t393
dbo|t394_sb_formatos_valores|f394_rowid|1|PK_t394
dbo|t395_sb_fideicomisos|f395_id_cia|1|PK_t395
dbo|t395_sb_fideicomisos|f395_id|2|PK_t395
dbo|t396_sb_terceros|f396_id_cia|1|PK_t396
dbo|t396_sb_terceros|f396_id|2|PK_t396
dbo|t397_sb_tercero_formato|f397_id_cia|1|PK_t397
